"Issuer Company","Open Date","Close Date","Listing Date","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Sah Polymers Limited IPO","Dec 30, 2022","Jan 04, 2023","Jan 12, 2023","65","66.30","230","BSE, NSE",""
"Radiant Cash Management Services Limited IPO","Dec 23, 2022","Dec 27, 2022","Jan 04, 2023","94","256.64","150","BSE, NSE",""
"Elin Electronics Limited IPO","Dec 20, 2022","Dec 22, 2022","Dec 30, 2022","247","475.00","60","BSE, NSE",""
"KFin Technologies Limited IPO","Dec 19, 2022","Dec 21, 2022","Dec 29, 2022","366","1,500.00","40","BSE, NSE",""
"Abans Holdings Limited IPO","Dec 12, 2022","Dec 15, 2022","Dec 23, 2022","270","345.60","55","BSE, NSE",""
"Landmark Cars Limited IPO","Dec 13, 2022","Dec 15, 2022","Dec 23, 2022","506","552.00","29","BSE, NSE",""
"Sula Vineyards Limited IPO","Dec 12, 2022","Dec 14, 2022","Dec 22, 2022","357","960.35","42","BSE, NSE",""
"Uniparts India Limited IPO","Nov 30, 2022","Dec 02, 2022","Dec 12, 2022","577","835.61","25","BSE, NSE",""
"Dharmaj Crop Guard Limited IPO","Nov 28, 2022","Nov 30, 2022","Dec 08, 2022","237","251.15","60","BSE, NSE",""
"Keystone Realtors Limited IPO","Nov 14, 2022","Nov 16, 2022","Nov 24, 2022","541","635.00","27","BSE, NSE",""
"Inox Green Energy Services Limited IPO","Nov 11, 2022","Nov 15, 2022","Nov 23, 2022","65","740.00","230","BSE, NSE",""
"Kaynes Technology India Ltd IPO","Nov 10, 2022","Nov 14, 2022","Nov 22, 2022","587","857.82","25","BSE, NSE",""
"Archean Chemical Industries Limited IPO","Nov 09, 2022","Nov 11, 2022","Nov 21, 2022","407","1,462.31","36","BSE, NSE",""
"Five Star Business Finance Ltd IPO","Nov 09, 2022","Nov 11, 2022","Nov 21, 2022","474","1,593.45","31","BSE, NSE",""
"Bikaji Foods International Limited IPO","Nov 03, 2022","Nov 07, 2022","Nov 16, 2022","300","881.22","50","BSE, NSE",""
"Global Health Limited IPO","Nov 03, 2022","Nov 07, 2022","Nov 16, 2022","336","2,205.57","44","BSE, NSE",""
"Fusion Micro Finance Limited IPO","Nov 02, 2022","Nov 04, 2022","Nov 15, 2022","368","1,103.99","40","BSE, NSE",""
"DCX Systems Limited IPO","Oct 31, 2022","Nov 02, 2022","Nov 11, 2022","207","500.00","72","BSE, NSE",""
"Tracxn Technologies Limited IPO","Oct 10, 2022","Oct 12, 2022","Oct 20, 2022","80","309.38","185","BSE, NSE",""
"Electronics Mart India Limited IPO","Oct 04, 2022","Oct 07, 2022","Oct 17, 2022","59","500.00","254","BSE, NSE",""
"Harsha Engineers International Ltd IPO","Sep 14, 2022","Sep 16, 2022","Sep 26, 2022","330","755.00","45","BSE, NSE",""
"Tamilnad Mercantile Bank Limited IPO","Sep 05, 2022","Sep 07, 2022","Sep 15, 2022","510","807.84","28","BSE, NSE",""
"Dreamfolks Services Limited IPO","Aug 24, 2022","Aug 26, 2022","Sep 06, 2022","326","562.10","46","BSE, NSE",""
"Syrma SGS Technology Ltd IPO","Aug 12, 2022","Aug 18, 2022","Aug 26, 2022","220","840.00","68","BSE, NSE",""
"Aether Industries Limited IPO","May 24, 2022","May 26, 2022","Jun 03, 2022","642","808.04","23","BSE, NSE",""
"eMudhra Limited IPO","May 20, 2022","May 24, 2022","Jun 01, 2022","256","412.79","58","BSE, NSE",""
"Ethos Limited IPO","May 18, 2022","May 20, 2022","May 30, 2022","878","472.29","17","BSE, NSE",""
"Paradeep Phosphates Limited IPO","May 17, 2022","May 19, 2022","May 27, 2022","42","1,501.73","350","BSE, NSE",""
"Venus Pipes & Tubes Limited IPO","May 11, 2022","May 13, 2022","May 24, 2022","326","165.42","46","BSE, NSE",""
"Delhivery Limited IPO","May 11, 2022","May 13, 2022","May 24, 2022","487","5,235.00","30","BSE, NSE",""
"Prudent Corporate Advisory Services Limited IPO","May 10, 2022","May 12, 2022","May 20, 2022","630","538.61","23","BSE, NSE",""
"Life Insurance Corporation of India (LIC) IPO","May 04, 2022","May 09, 2022","May 17, 2022","949","21,008.48","15","BSE, NSE",""
"Rainbow Children's Medicare Limited IPO","Apr 27, 2022","Apr 29, 2022","May 10, 2022","542","1,580.85","27","BSE, NSE",""
"Campus Activewear Limited IPO","Apr 26, 2022","Apr 28, 2022","May 09, 2022","292","1,400.14","51","BSE, NSE",""
"Hariom Pipe Industries Limited IPO","Mar 30, 2022","Apr 05, 2022","Apr 13, 2022","153","130.05","98","BSE, NSE",""
"Veranda Learning Solutions Limited IPO","Mar 29, 2022","Mar 31, 2022","Apr 11, 2022","137","200.00","100","BSE, NSE",""
"Uma Exports Limited IPO","Mar 28, 2022","Mar 30, 2022","Apr 07, 2022","68","60.00","220","BSE, NSE",""
"Ruchi Soya Industries Ltd FPO","Mar 24, 2022","Mar 28, 2022","Apr 08, 2022","650","4,300.00","21","BSE, NSE",""
"Vedant Fashions Limited IPO","Feb 04, 2022","Feb 08, 2022","Feb 16, 2022","866","3,149.19","17","BSE, NSE",""
"Adani Wilmar Limited IPO","Jan 27, 2022","Jan 31, 2022","Feb 08, 2022","230","3,600.00","65","BSE, NSE",""
"AGS Transact Technologies Ltd IPO","Jan 19, 2022","Jan 21, 2022","Jan 31, 2022","175","680.00","85","BSE, NSE",""
