Date,Close,High,Low,Open,Volume,symbol
,SRM.NS,SRM.NS,SRM.NS,SRM.NS,SRM.NS,
2024-04-01,228.3000030517578,237.3000030517578,215.25,215.25,2272374,SRM.NS
2024-04-08,207.85000610351562,226.0,201.0,226.0,990116,SRM.NS
2024-04-15,199.8000030517578,211.60000610351562,194.14999389648438,201.25,694444,SRM.NS
2024-04-22,198.6999969482422,203.8000030517578,196.4499969482422,203.8000030517578,426463,SRM.NS
2024-04-29,197.35000610351562,208.25,195.75,200.64999389648438,449136,SRM.NS
2024-05-06,179.8000030517578,198.8000030517578,178.0,198.5,488347,SRM.NS
2024-05-13,182.89999389648438,187.0,170.64999389648438,180.0,647518,SRM.NS
2024-05-20,175.75,183.85000610351562,175.0500030517578,183.10000610351562,253843,SRM.NS
2024-05-27,175.3000030517578,180.39999389648438,175.0,177.5,198531,SRM.NS
2024-06-03,167.5,179.0,142.85000610351562,177.0500030517578,455960,SRM.NS
2024-06-10,184.77999877929688,187.25,167.1999969482422,169.0,268876,SRM.NS
2024-06-17,180.85000610351562,188.89999389648438,176.64999389648438,184.77999877929688,389435,SRM.NS
2024-06-24,177.9600067138672,195.92999267578125,175.8000030517578,180.85000610351562,378404,SRM.NS
2024-07-01,177.47999572753906,180.25999450683594,175.0,179.60000610351562,158670,SRM.NS
2024-07-08,208.5500030517578,210.4199981689453,177.00999450683594,178.25,2028075,SRM.NS
2024-07-15,213.63999938964844,226.77000427246094,205.2100067138672,209.92999267578125,1595007,SRM.NS
2024-07-22,248.3000030517578,260.7300109863281,210.25,212.0,3082249,SRM.NS
2024-07-29,269.5,279.0,245.0,252.0,1684099,SRM.NS
2024-08-05,286.6000061035156,297.6000061035156,238.0500030517578,257.0,1470931,SRM.NS
2024-08-12,273.95001220703125,299.0,251.8000030517578,284.95001220703125,682069,SRM.NS
2024-08-19,278.1000061035156,299.8500061035156,270.1000061035156,281.95001220703125,394701,SRM.NS
2024-08-26,261.75,287.0,252.0500030517578,287.0,160421,SRM.NS
2024-09-02,258.6000061035156,273.95001220703125,255.0,262.1499938964844,184970,SRM.NS
2024-09-09,255.1999969482422,270.0,246.0500030517578,255.0,127879,SRM.NS
2024-09-16,281.75,282.0,245.14999389648438,262.0,274395,SRM.NS
2024-09-23,265.79998779296875,294.0,263.04998779296875,285.0,148316,SRM.NS
2024-09-30,260.04998779296875,275.0,252.5,258.0,83306,SRM.NS
2024-10-07,266.95001220703125,272.5,246.0,265.95001220703125,112740,SRM.NS
2024-10-14,276.20001220703125,280.25,263.0,270.0,251226,SRM.NS
2024-10-21,260.1499938964844,288.8999938964844,251.5,284.0,172489,SRM.NS
2024-10-28,265.8500061035156,270.0,255.0,255.1999969482422,77697,SRM.NS
2024-11-04,263.5,276.0,257.6499938964844,262.5,78659,SRM.NS
2024-11-11,277.75,280.0,260.25,260.25,128876,SRM.NS
2024-11-18,331.79998779296875,348.45001220703125,272.75,280.0,1880649,SRM.NS
2024-11-25,339.95001220703125,360.1000061035156,311.25,336.04998779296875,824348,SRM.NS
2024-12-02,327.0,360.0,320.20001220703125,347.0,457526,SRM.NS
2024-12-09,347.70001220703125,359.6499938964844,313.75,324.3500061035156,664035,SRM.NS
2024-12-16,371.1000061035156,398.54998779296875,346.8999938964844,347.70001220703125,1411652,SRM.NS
2024-12-23,397.3999938964844,414.20001220703125,373.29998779296875,385.0,928224,SRM.NS
