Date,Close,High,Low,Open,Volume,symbol
,MEDPLUS.NS,MEDPLUS.NS,MEDPLUS.NS,MEDPLUS.NS,MEDPLUS.NS,
2021-12-20,1076.050048828125,1143.9000244140625,1026.199951171875,1040.0,22463099,MEDPLUS.NS
2021-12-27,1037.3499755859375,1100.0,995.0999755859375,1050.0,3340360,MEDPLUS.NS
2022-01-03,1015.5999755859375,1072.0,1008.0999755859375,1039.0,1317666,MEDPLUS.NS
2022-01-10,1132.3499755859375,1173.300048828125,1007.0,1025.4000244140625,2218151,MEDPLUS.NS
2022-01-17,1225.6500244140625,1343.0,1131.199951171875,1140.0,2828521,MEDPLUS.NS
2022-01-24,1099.949951171875,1267.0,1081.0,1225.9000244140625,1247600,MEDPLUS.NS
2022-01-31,1182.8499755859375,1194.25,1057.25,1095.0,1658444,MEDPLUS.NS
2022-02-07,1148.550048828125,1223.9000244140625,1103.550048828125,1180.0,624294,MEDPLUS.NS
2022-02-14,1025.5999755859375,1140.0,1020.0,1125.0,740445,MEDPLUS.NS
2022-02-21,1000.4000244140625,1025.0,921.0,1006.0,1376856,MEDPLUS.NS
2022-02-28,993.0,1132.0,961.0499877929688,980.0,1011254,MEDPLUS.NS
2022-03-07,1005.5999755859375,1029.0,920.0,975.0,623803,MEDPLUS.NS
2022-03-14,998.2999877929688,1036.9000244140625,985.0,1015.1500244140625,375689,MEDPLUS.NS
2022-03-21,957.4000244140625,1009.6500244140625,952.0499877929688,1003.4000244140625,399491,MEDPLUS.NS
2022-03-28,1017.4000244140625,1029.5,945.0,963.0,622815,MEDPLUS.NS
2022-04-04,1011.0,1032.0,984.0499877929688,1017.4000244140625,490929,MEDPLUS.NS
2022-04-11,988.9000244140625,1049.0,986.0,1015.0,234428,MEDPLUS.NS
2022-04-18,996.0499877929688,1004.0,962.0,988.0,364224,MEDPLUS.NS
2022-04-25,994.9000244140625,1029.5999755859375,971.3499755859375,995.7999877929688,698884,MEDPLUS.NS
2022-05-02,919.4000244140625,995.0,908.0999755859375,988.0,539841,MEDPLUS.NS
2022-05-09,829.4000244140625,919.4000244140625,779.4500122070312,919.4000244140625,1050993,MEDPLUS.NS
2022-05-16,915.75,921.0,827.1500244140625,829.0,558313,MEDPLUS.NS
2022-05-23,880.7999877929688,945.0,874.9500122070312,920.0,445476,MEDPLUS.NS
2022-05-30,875.25,910.5,845.4500122070312,885.5999755859375,1083731,MEDPLUS.NS
2022-06-06,753.2000122070312,874.9500122070312,736.2999877929688,874.9500122070312,591077,MEDPLUS.NS
2022-06-13,749.5,757.0,708.0,749.9000244140625,348342,MEDPLUS.NS
2022-06-20,749.0499877929688,763.0,715.5499877929688,735.0499877929688,156367,MEDPLUS.NS
2022-06-27,751.7999877929688,802.0999755859375,741.9000244140625,765.6500244140625,347443,MEDPLUS.NS
2022-07-04,756.0,775.0,746.4000244140625,765.0,329150,MEDPLUS.NS
2022-07-11,757.2000122070312,773.0,745.25,763.5499877929688,244935,MEDPLUS.NS
2022-07-18,738.9000244140625,778.75,738.0,760.0,361256,MEDPLUS.NS
2022-07-25,741.9000244140625,748.7000122070312,706.9500122070312,739.0,256740,MEDPLUS.NS
