Date,Close,High,Low,Open,Volume,symbol
,INNOVACAP.NS,INNOVACAP.NS,INNOVACAP.NS,INNOVACAP.NS,INNOVACAP.NS,
2023-12-25,541.4000244140625,542.5,452.1000061035156,452.1000061035156,15496570,INNOVACAP.NS
2024-01-01,537.1500244140625,588.0,506.0,535.0,8472698,INNOVACAP.NS
2024-01-08,519.1500244140625,538.0,512.0,535.0,2329777,INNOVACAP.NS
2024-01-15,539.4500122070312,583.9000244140625,496.0,519.1500244140625,1948090,INNOVACAP.NS
2024-01-22,515.9000244140625,539.4500122070312,502.79998779296875,539.4500122070312,679543,INNOVACAP.NS
2024-01-29,533.6500244140625,538.2999877929688,503.0,515.0499877929688,1300470,INNOVACAP.NS
2024-02-05,526.7000122070312,555.5499877929688,513.2000122070312,530.0499877929688,679183,INNOVACAP.NS
2024-02-12,531.0,570.0,521.1500244140625,539.9000244140625,794646,INNOVACAP.NS
2024-02-19,531.7000122070312,539.4000244140625,516.0,535.9500122070312,385859,INNOVACAP.NS
2024-02-26,532.75,566.7000122070312,523.1500244140625,532.7999877929688,496318,INNOVACAP.NS
2024-03-04,526.0999755859375,536.9500122070312,514.5999755859375,530.4500122070312,359927,INNOVACAP.NS
2024-03-11,479.1000061035156,528.0,462.0,518.0499877929688,410890,INNOVACAP.NS
2024-03-18,486.75,496.0,462.3999938964844,479.95001220703125,333006,INNOVACAP.NS
2024-03-25,449.54998779296875,493.70001220703125,443.25,486.75,548593,INNOVACAP.NS
2024-04-01,464.1000061035156,480.70001220703125,447.29998779296875,456.25,804402,INNOVACAP.NS
2024-04-08,483.8500061035156,486.20001220703125,460.04998779296875,464.1499938964844,244851,INNOVACAP.NS
2024-04-15,470.20001220703125,490.0,467.54998779296875,483.8500061035156,165802,INNOVACAP.NS
2024-04-22,469.54998779296875,475.8500061035156,465.1000061035156,470.20001220703125,121209,INNOVACAP.NS
2024-04-29,458.29998779296875,477.0,455.04998779296875,461.04998779296875,184507,INNOVACAP.NS
2024-05-06,458.95001220703125,466.8500061035156,450.25,465.29998779296875,106081,INNOVACAP.NS
2024-05-13,502.54998779296875,504.8999938964844,455.25,459.1000061035156,563817,INNOVACAP.NS
2024-05-20,485.79998779296875,517.1500244140625,483.29998779296875,502.54998779296875,152744,INNOVACAP.NS
2024-05-27,480.6000061035156,505.5,455.25,490.0,270568,INNOVACAP.NS
2024-06-03,497.3500061035156,505.45001220703125,421.3500061035156,485.0,597012,INNOVACAP.NS
2024-06-10,492.3500061035156,504.79998779296875,484.0,504.79998779296875,128134,INNOVACAP.NS
2024-06-17,500.1499938964844,509.0,479.0,493.0,1055448,INNOVACAP.NS
2024-06-24,508.54998779296875,524.0,490.04998779296875,504.0,393259,INNOVACAP.NS
2024-07-01,507.45001220703125,519.8499755859375,486.79998779296875,508.75,336099,INNOVACAP.NS
2024-07-08,511.70001220703125,521.2999877929688,495.0,512.5,782194,INNOVACAP.NS
2024-07-15,558.0999755859375,583.0,501.0,511.70001220703125,1154859,INNOVACAP.NS
2024-07-22,609.75,636.0,541.0499877929688,564.7999877929688,1279293,INNOVACAP.NS
2024-07-29,620.7999877929688,649.7999877929688,601.4000244140625,610.4000244140625,485590,INNOVACAP.NS
2024-08-05,598.5499877929688,636.4000244140625,586.25,611.0,471919,INNOVACAP.NS
2024-08-12,666.75,696.9500122070312,592.5999755859375,609.9000244140625,1207571,INNOVACAP.NS
2024-08-19,692.1500244140625,725.0,668.0999755859375,671.4500122070312,772552,INNOVACAP.NS
2024-08-26,657.9000244140625,714.9000244140625,648.0,698.9000244140625,532115,INNOVACAP.NS
2024-09-02,751.7999877929688,772.4000244140625,666.0,680.0,929250,INNOVACAP.NS
2024-09-09,784.9000244140625,793.3499755859375,726.3499755859375,733.5,446770,INNOVACAP.NS
2024-09-16,794.9000244140625,841.5499877929688,749.0999755859375,785.9000244140625,657061,INNOVACAP.NS
2024-09-23,772.75,805.0,754.1500244140625,802.8499755859375,283237,INNOVACAP.NS
2024-09-30,737.5,785.0,727.0,772.75,184014,INNOVACAP.NS
2024-10-07,714.5999755859375,770.0,695.4500122070312,743.0,242233,INNOVACAP.NS
2024-10-14,746.0,765.9500122070312,710.0,716.1500244140625,384594,INNOVACAP.NS
2024-10-21,710.3499755859375,750.0,680.5499877929688,746.0,389076,INNOVACAP.NS
2024-10-28,787.8499755859375,792.0,700.4500122070312,715.0,207805,INNOVACAP.NS
2024-11-04,951.5499877929688,983.9500122070312,789.0,795.0,1436691,INNOVACAP.NS
2024-11-11,988.5,1019.2000122070312,913.0999755859375,941.0,930774,INNOVACAP.NS
2024-11-18,1015.3499755859375,1059.0,905.0,992.2000122070312,610197,INNOVACAP.NS
2024-11-25,1021.9000244140625,1060.0,983.5499877929688,1033.800048828125,788466,INNOVACAP.NS
2024-12-02,1082.6500244140625,1176.0,1016.0499877929688,1034.0,1213671,INNOVACAP.NS
2024-12-09,1051.300048828125,1116.449951171875,1025.0,1082.5,410832,INNOVACAP.NS
2024-12-16,978.5499877929688,1048.949951171875,968.4500122070312,1043.800048828125,309185,INNOVACAP.NS
2024-12-23,1081.050048828125,1111.300048828125,956.9500122070312,985.9500122070312,565102,INNOVACAP.NS
