Date,Close,High,Low,Open,Volume,symbol
,YATRA.NS,YATRA.NS,YATRA.NS,YATRA.NS,YATRA.NS,
2023-09-25,136.85000610351562,146.6999969482422,127.5,127.5,13345688,YATRA.NS
2023-10-02,138.0,139.5500030517578,126.0,136.85000610351562,5708086,YATRA.NS
2023-10-09,150.25,157.3000030517578,132.5,139.85000610351562,22584287,YATRA.NS
2023-10-16,140.8000030517578,158.14999389648438,137.25,150.5,13745899,YATRA.NS
2023-10-23,126.1500015258789,142.0,124.55000305175781,142.0,3481222,YATRA.NS
2023-10-30,129.8000030517578,133.0,124.5999984741211,126.55000305175781,1478416,YATRA.NS
2023-11-06,139.0500030517578,141.0,129.8000030517578,130.0500030517578,1795508,YATRA.NS
2023-11-13,130.5500030517578,141.10000610351562,127.6500015258789,139.85000610351562,1933813,YATRA.NS
2023-11-20,131.10000610351562,132.25,126.0,131.25,1112214,YATRA.NS
2023-11-27,132.14999389648438,140.85000610351562,129.5500030517578,131.10000610351562,2186364,YATRA.NS
2023-12-04,130.8000030517578,135.8000030517578,130.0,133.9499969482422,844007,YATRA.NS
2023-12-11,140.60000610351562,142.25,130.0500030517578,130.85000610351562,2604695,YATRA.NS
2023-12-18,140.25,143.0,127.69999694824219,140.35000610351562,2643165,YATRA.NS
2023-12-25,144.60000610351562,151.85000610351562,138.64999389648438,140.25,5571028,YATRA.NS
2024-01-01,149.25,154.0,144.14999389648438,145.89999389648438,2691203,YATRA.NS
2024-01-08,176.8000030517578,186.0500030517578,147.10000610351562,149.9499969482422,11091250,YATRA.NS
2024-01-15,174.10000610351562,184.39999389648438,166.35000610351562,176.8000030517578,2686956,YATRA.NS
2024-01-22,171.60000610351562,181.85000610351562,167.0,174.10000610351562,1901496,YATRA.NS
2024-01-29,178.8000030517578,194.0,166.39999389648438,173.89999389648438,5148550,YATRA.NS
2024-02-05,174.85000610351562,183.0500030517578,163.10000610351562,180.39999389648438,2306180,YATRA.NS
2024-02-12,170.0500030517578,183.0,163.10000610351562,175.89999389648438,2828732,YATRA.NS
2024-02-19,170.25,179.4499969482422,168.5,171.0,1403963,YATRA.NS
2024-02-26,167.5,176.60000610351562,164.10000610351562,171.0,1105131,YATRA.NS
2024-03-04,157.6999969482422,169.14999389648438,155.5500030517578,168.85000610351562,789204,YATRA.NS
2024-03-11,143.4499969482422,158.0,131.0,157.60000610351562,2332384,YATRA.NS
2024-03-18,152.8000030517578,154.64999389648438,138.60000610351562,145.60000610351562,1539446,YATRA.NS
2024-03-25,143.0500030517578,153.9499969482422,142.0500030517578,152.8000030517578,1422435,YATRA.NS
2024-04-01,153.75,156.0,143.85000610351562,145.0,994736,YATRA.NS
2024-04-08,147.3000030517578,158.64999389648438,145.89999389648438,153.9499969482422,520114,YATRA.NS
2024-04-15,146.60000610351562,151.10000610351562,136.0500030517578,148.0,842417,YATRA.NS
2024-04-22,148.6999969482422,151.89999389648438,143.8000030517578,146.5,493515,YATRA.NS
2024-04-29,143.60000610351562,151.5,140.0,148.5,360239,YATRA.NS
2024-05-06,141.1999969482422,146.9499969482422,136.89999389648438,143.85000610351562,387467,YATRA.NS
2024-05-13,145.14999389648438,148.5500030517578,138.9499969482422,141.60000610351562,441492,YATRA.NS
2024-05-20,136.5,145.8000030517578,135.5,145.0,1136891,YATRA.NS
2024-05-27,129.85000610351562,139.1999969482422,125.94999694824219,137.14999389648438,1429526,YATRA.NS
2024-06-03,129.5,135.0,120.0,135.0,920150,YATRA.NS
2024-06-10,130.92999267578125,133.0,126.9000015258789,130.60000610351562,1749814,YATRA.NS
2024-06-17,128.97999572753906,138.0,128.3300018310547,135.1999969482422,2206785,YATRA.NS
2024-06-24,126.20999908447266,131.30999755859375,122.0,128.0500030517578,1496833,YATRA.NS
2024-07-01,127.56999969482422,133.64999389648438,125.5199966430664,128.0,1598984,YATRA.NS
2024-07-08,126.30999755859375,129.85000610351562,125.19999694824219,127.56999969482422,2248975,YATRA.NS
2024-07-15,123.27999877929688,128.0,122.0,127.4000015258789,1299745,YATRA.NS
2024-07-22,132.25,136.89999389648438,120.5,124.5,2306963,YATRA.NS
2024-07-29,137.88999938964844,143.4499969482422,130.25999450683594,134.85000610351562,3356968,YATRA.NS
2024-08-05,130.75999450683594,134.8000030517578,125.81999969482422,132.5,1602270,YATRA.NS
2024-08-12,128.22000122070312,139.89999389648438,127.6500015258789,130.75999450683594,1431907,YATRA.NS
2024-08-19,140.17999267578125,143.38999938964844,127.0999984741211,129.99000549316406,2236584,YATRA.NS
2024-08-26,147.69000244140625,153.89999389648438,135.02999877929688,140.22999572753906,5082731,YATRA.NS
2024-09-02,144.0800018310547,156.8000030517578,138.5500030517578,150.0,6226990,YATRA.NS
2024-09-09,139.72999572753906,145.0,138.5,142.5500030517578,1412993,YATRA.NS
2024-09-16,135.10000610351562,141.9499969482422,133.0,141.0,1252937,YATRA.NS
2024-09-23,133.67999267578125,140.8000030517578,133.00999450683594,135.10000610351562,833260,YATRA.NS
2024-09-30,128.4600067138672,136.39999389648438,127.0999984741211,135.0,921483,YATRA.NS
2024-10-07,125.48999786376953,129.9499969482422,119.11000061035156,129.9499969482422,1058406,YATRA.NS
2024-10-14,120.55000305175781,127.20999908447266,119.41999816894531,127.20999908447266,852507,YATRA.NS
2024-10-21,106.73999786376953,123.29000091552734,103.19000244140625,122.69999694824219,897019,YATRA.NS
2024-10-28,117.66000366210938,118.94999694824219,103.44000244140625,106.7300033569336,375036,YATRA.NS
2024-11-04,112.54000091552734,117.83999633789062,107.41000366210938,117.0,601988,YATRA.NS
2024-11-11,110.93000030517578,120.01000213623047,108.41000366210938,112.48999786376953,844680,YATRA.NS
2024-11-18,105.23999786376953,114.38999938964844,103.0999984741211,112.4000015258789,587307,YATRA.NS
2024-11-25,103.87000274658203,109.77999877929688,101.20999908447266,109.77999877929688,1085919,YATRA.NS
2024-12-02,107.47000122070312,116.5,102.93000030517578,103.98999786376953,3871983,YATRA.NS
2024-12-09,110.72000122070312,114.9800033569336,107.30999755859375,107.5,1936640,YATRA.NS
2024-12-16,112.37000274658203,119.9000015258789,110.98999786376953,111.0,1581492,YATRA.NS
2024-12-23,111.66999816894531,115.97000122070312,109.12000274658203,114.0,1239412,YATRA.NS
